Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.10.1               5   28c6.8ee1.659b  ARPA   Vlan1
Internet  10.1.10.11              4   6400.6a64.f5ca  ARPA   Vlan1
Internet  10.1.10.10            172   0018.7149.5160  ARPA   Vlan1
Internet  10.1.10.21              0   a860.b603.421c  ARPA   Vlan1
Internet  10.1.10.37             18   a4c3.f047.4528  ARPA   Vlan1
Internet  10.10.101.1             -   0018.b9b5.93c2  ARPA   Vlan101
Internet  10.10.100.1             -   0018.b9b5.93c1  ARPA   Vlan100
Internet  10.1.10.102             -   0018.b9b5.93c0  ARPA   Vlan1
Internet  71.103.129.220          4   28c6.8ee1.6599  ARPA   Vlan1
Internet  10.1.10.170             0   000c.294f.a20b  ARPA   Vlan1
Internet  10.1.10.181             0   000c.298c.d663  ARPA   Vlan1
